video_name,frame_number,response,Folder,Label
-1l5631l3fg_0.avi,0,"A person in a dark hoodie is quickly walking through a doorway in what appears to be a subway station, with stairs visible behind them. no",Fight\-1l5631l3fg_0.avi,Fight
-1l5631l3fg_1.avi,5,"In a subway station, a hooded individual is physically assaulting or struggling with another person at an entrance, captured by surveillance. yes",Fight\-1l5631l3fg_1.avi,Fight
-1l5631l3fg_2.avi,0,A surveillance camera captures an empty concrete staircase with yellow railings. A landing or hallway with white and green walls is visible at the bottom. No,Fight\-1l5631l3fg_2.avi,Fight
0H2s9UJcNJ0_0.avi,26,"Multiple individuals are engaged in a physical altercation in a room, with several people surrounding someone on the floor. The scene suggests a violent incident. yes",Fight\0H2s9UJcNJ0_0.avi,Fight
0H2s9UJcNJ0_2.avi,130,"Individuals attend to a person in a dark uniform on the floor, seemingly providing medical assistance, in an institutional setting. No",Fight\0H2s9UJcNJ0_2.avi,Fight
0H2s9UJcNJ0_3.avi,57,Several people are gathered around two individuals on the floor; one person appears to be restraining or struggling with another while others observe or intervene. yes,Fight\0H2s9UJcNJ0_3.avi,Fight
0H2s9UJcNJ0_4.avi,130,Several officers are restraining or apprehending individuals on the ground in a busy indoor setting. Other people are observing nearby. yes,Fight\0H2s9UJcNJ0_4.avi,Fight
0H2s9UJcNJ0_5.avi,18,"A uniformed officer is sternly speaking to an individual in a green uniform, while other people are resting nearby in what appears to be a correctional facility. Yes",Fight\0H2s9UJcNJ0_5.avi,Fight
0lHQ2f0d_0.avi,36,"Multiple people are engaged in a street brawl at night. Some are on the ground, while others are fighting, with one person swinging a chain and another kicking someone. Yes",Fight\0lHQ2f0d_0.avi,Fight
0lHQ2f0d_1.avi,65,"A street brawl is unfolding at night, with multiple individuals fighting and throwing punches amidst parked scooters on a paved street. yes",Fight\0lHQ2f0d_1.avi,Fight
0lHQ2f0d_2.avi,71,"A night street scene shows multiple people, with two individuals in the center-left engaged in a physical altercation, one appearing to kick another person on the ground. yes",Fight\0lHQ2f0d_2.avi,Fight
0lHQ2f0d_3.avi,32,"A chaotic street fight unfolds at night with multiple individuals engaged in a physical altercation, throwing punches and grappling on an urban street. yes",Fight\0lHQ2f0d_3.avi,Fight
0NWz-01A2yk_0.avi,1,"A person in a pink top and head covering leans over a counter, appearing to be working or reaching for items. Another person is visible in the background. no",Fight\0NWz-01A2yk_0.avi,Fight
0NWz-01A2yk_1.avi,0,"Two people are engaged in a physical struggle behind a counter in what appears to be a store or restaurant, captured by surveillance video. yes",Fight\0NWz-01A2yk_1.avi,Fight
0TFi8D8IBg4_1.avi,105,"Several people, including children and young adults, are actively moving or dancing indoors. One person in pink shorts and a purple shirt is bending over, while others are also in motion. No.",Fight\0TFi8D8IBg4_1.avi,Fight
0vasozvJYvk_0.avi,53,A person pushes a stroller on a sidewalk with another person nearby. Other pedestrians walk along a busy road with traffic. No,Fight\0vasozvJYvk_0.avi,Fight
0_DzLlklZa0_3.avi,114,"A physical altercation is occurring between several individuals near a doorway in what appears to be a correctional facility common area, while others observe. Yes",Fight\0_DzLlklZa0_3.avi,Fight
