video_name,frame_number,response,Folder,Label,clean_response_no_keywords
0Ow4cotKOuw_0.avi,75,"A bar fight is underway with people grappling near a pillar, chairs overturned, and others reacting to the commotion. yes",Fight\0Ow4cotKOuw_0.avi,Fight,A bar fight is underway with grappling near a pillar chairs overturned and others reacting to the commotion
0Ow4cotKOuw_1.avi,75,"A chaotic bar brawl is underway, with several people fighting, punching, and grabbing. Furniture is overturned as the violence escalates. yes",Fight\0Ow4cotKOuw_1.avi,Fight,A chaotic bar brawl is underway with several fighting punching and grabbing Furniture is overturned as the violence escalates
0Ow4cotKOuw_2.avi,75,"A chaotic brawl is erupting in a bar, with several people fighting near the counter and overturned chairs, while a bartender observes. Yes",Fight\0Ow4cotKOuw_2.avi,Fight,A chaotic brawl is erupting in a bar with several fighting near the and overturned chairs while a bartender observes
0Ow4cotKOuw_3.avi,75,"A chaotic bar fight is in progress with multiple individuals grappling and chairs being thrown, while a bartender observes the escalating aggression. Yes",Fight\0Ow4cotKOuw_3.avi,Fight,A chaotic bar fight is in progress with multiple individuals grappling and chairs being thrown while a bartender observes the escalating aggression
0Ow4cotKOuw_4.avi,75,"A bar fight is breaking out. One person is swinging a chair, another is on the floor behind the bar, and furniture is overturned, indicating a brawl. yes",Fight\0Ow4cotKOuw_4.avi,Fight,A bar fight is breaking out One person is swinging a chair another is on the floor behind the bar and furniture is overturned indicating a brawl
1Kbw1bUw_0.avi,75,"Multiple individuals are involved in a struggle or altercation inside a store. One person is grappling near the counter, while others are on the floor, seemingly subdued. yes",Fight\1Kbw1bUw_0.avi,Fight,Multiple individuals are involved in a struggle or altercation inside a One person is grappling near the while others are on the floor seemingly subdued
1Kbw1bUw_1.avi,75,"A security camera captures an altercation between two people in a store aisle, near shelves of alcohol, with a checkout counter in the foreground. yes",Fight\1Kbw1bUw_1.avi,Fight,A captures an altercation between two in a aisle near shelves of alcohol with a checkout in the foreground
1Kbw1bUw_2.avi,75,"Security camera footage shows a physical altercation between individuals in a store, with one person on the floor near shelves and a cash register. Yes",Fight\1Kbw1bUw_2.avi,Fight,Security footage shows a physical altercation between individuals in a with one person on the floor near shelves and a cash register
1Kbw1bUw_3.avi,75,"Overhead view of a store where several people are reacting, with some on the floor appearing to duck or fall. A cash register is visible in the foreground. Yes",Fight\1Kbw1bUw_3.avi,Fight,Overhead view of a where several are reacting with some on the floor appearing to duck or fall A cash register is visible in the foreground
1MVS2QPWbHc_0.avi,75,"Multiple people are in a dimly lit shop or market. One person is seen swinging a long object, possibly a stick or rod, amidst the crowd. yes",Fight\1MVS2QPWbHc_0.avi,Fight,Multiple are in a dimly lit shop or market One person is seen swinging a long object possibly a stick or rod amidst the crowd
1MVS2QPWbHc_1.avi,75,"A security camera captures a bustling indoor scene with several people. Two young men in checkered shirts are visible in the foreground, walking amongst others, likely in a market or shop. no",Fight\1MVS2QPWbHc_1.avi,Fight,A captures a bustling scene with several Two young men in checkered shirts are visible in the foreground walking amongst others likely in a market or shop
1MVS2QPWbHc_2.avi,75,"Several people are in a shop, one person is shown raising a weapon in a striking motion, while others are present amidst what appears to be a chaotic scene with debris. yes",Fight\1MVS2QPWbHc_2.avi,Fight,Several are in a shop one person is shown raising a weapon in a striking motion while others are present amidst what appears to be a chaotic scene with debris
1MVS2QPWbHc_3.avi,75,"Multiple people are engaged in a chaotic struggle or attack inside a room, with debris scattered on the floor. Yes",Fight\1MVS2QPWbHc_3.avi,Fight,Multiple are engaged in a chaotic struggle or attack inside a room with debris scattered on the floor
1MVS2QPWbHc_4.avi,75,"Multiple people are seen in a dimly lit indoor space, some wielding sticks, engaged in what appears to be a violent confrontation or attack. yes",Fight\1MVS2QPWbHc_4.avi,Fight,Multiple are seen in a dimly lit space some wielding sticks engaged in what appears to be a violent confrontation or attack
1MVS2QPWbHc_5.avi,75,"A crowded street scene with market stalls, vehicles, and many people. On the right, a group appears agitated, with some holding sticks and gesturing, suggesting a confrontation or protest. yes",Fight\1MVS2QPWbHc_5.avi,Fight,A crowded scene with market stalls vehicles and many On the right a group appears agitated with some holding sticks and gesturing suggesting a confrontation or protest
