video_name,frame_number,response,Folder,Label
-1l5631l3fg_0.avi,0,"A person in a dark hoodie quickly moves through a doorway at a subway station. Their right arm is bent, possibly holding an object. Date: Mar 9, 2013. yes",Fight\-1l5631l3fg_0.avi,Fight
-1l5631l3fg_1.avi,5,"A person in a dark hoodie is seen forcefully grabbing another individual by the head/neck in a subway station, as captured by a security camera. Yes",Fight\-1l5631l3fg_1.avi,Fight
-1l5631l3fg_2.avi,0,A security camera view shows a stairwell. A person is lying on the floor in the background at the bottom of the stairs. no,Fight\-1l5631l3fg_2.avi,Fight
0H2s9UJcNJ0_0.avi,134,"A group of people are engaged in a chaotic struggle or intense interaction in an indoor space, with one person in a dark suit actively involved. yes",Fight\0H2s9UJcNJ0_0.avi,Fight
0H2s9UJcNJ0_2.avi,72,"Multiple individuals, possibly staff, are restraining or attending to a person on the floor in what appears to be an institutional setting. yes",Fight\0H2s9UJcNJ0_2.avi,Fight
0H2s9UJcNJ0_3.avi,88,A physical altercation involving multiple individuals is taking place. One person in dark attire is seen kicking another amidst a struggle involving several people. yes,Fight\0H2s9UJcNJ0_3.avi,Fight
0H2s9UJcNJ0_4.avi,122,Police officers are restraining an individual on the ground while other people observe. The scene appears to be an arrest or a physical altercation. yes,Fight\0H2s9UJcNJ0_4.avi,Fight
0H2s9UJcNJ0_5.avi,18,"A female officer confronts an individual in a green uniform inside a facility, with other people lying or standing nearby. Yes",Fight\0H2s9UJcNJ0_5.avi,Fight
0lHQ2f0d_0.avi,111,"A large group of people are engaged in a chaotic street brawl at night, with individuals kicking and pushing each other on a narrow street. yes",Fight\0lHQ2f0d_0.avi,Fight
0lHQ2f0d_1.avi,57,"A nighttime street brawl involves several people engaged in a physical altercation. Individuals are seen kicking, pushing, and struggling with one another. yes",Fight\0lHQ2f0d_1.avi,Fight
0lHQ2f0d_2.avi,71,"Multiple people are engaged in a street brawl at night, with others observing nearby. Motorcycles line the street, and trash is scattered. The scene appears chaotic and confrontational. yes",Fight\0lHQ2f0d_2.avi,Fight
0lHQ2f0d_3.avi,32,"A chaotic street brawl at night involves multiple individuals fighting, with some on the ground, and others swinging their arms amidst parked motorcycles. yes",Fight\0lHQ2f0d_3.avi,Fight
0NWz-01A2yk_0.avi,1,"A person in a pink shirt and head covering leans over a counter, seemingly working or reaching for items. Another individual stands further down the counter. no",Fight\0NWz-01A2yk_0.avi,Fight
0NWz-01A2yk_1.avi,0,"Two individuals are engaged in a physical struggle or altercation behind a counter, as captured by a surveillance camera. yes",Fight\0NWz-01A2yk_1.avi,Fight
0TFi8D8IBg4_1.avi,105,"Multiple people, likely children, are actively moving and dancing indoors. One person in pink shorts bends, while a child on the right jumps, creating a dynamic scene. No",Fight\0TFi8D8IBg4_1.avi,Fight
0vasozvJYvk_0.avi,53,A person pushes a pram on a sidewalk next to a road with traffic. Another couple walks further down the path. No,Fight\0vasozvJYvk_0.avi,Fight
0_DzLlklZa0_3.avi,72,"People are gathered in a common area of what appears to be a facility. Guards are interacting with several individuals near a door, while others stand or sit nearby. yes",Fight\0_DzLlklZa0_3.avi,Fight
0_DzLlklZa0_4.avi,131,"Multiple people are engaged in a physical altercation within a room featuring tables and a bench, possibly in a detention center. yes",Fight\0_DzLlklZa0_4.avi,Fight
0_DzLlklZa0_5.avi,19,"Multiple individuals are involved in a physical altercation within a facility, as captured by the Cook County Sheriff's video. yes",Fight\0_DzLlklZa0_5.avi,Fight
0_DzLlklZa0_6.avi,127,Inmates in a common area; two are restraining another person during a struggle. Others observe the confrontation. yes,Fight\0_DzLlklZa0_6.avi,Fight
1060314╤äΓòò╨╜╤à╨│╨▓╤à╨┤╨╣╤å╨⌐╨»╤ë╨û╨╗╤ë╨⌐╨▓╤å╨É╨╡╤ê╨╕Γòæ╤à╨╛╨┤╤å╨¬Γöñ╤à╨Ü╨½╤äΓòæ╨¢╤äΓòùΓòó╤ÅΓò¥╨ÿ╤à╨¥╨«╤ë╨ù╨í╤àΓöéΓûæ╤ÅΓò¥╨Ö_17.avi,12,Multiple people are involved in a tense interaction within a hospital hallway. One individual in pink appears to be intervening to separate others. Yes,Fight\1060314╤äΓòò╨╜╤à╨│╨▓╤à╨┤╨╣╤å╨⌐╨»╤ë╨û╨╗╤ë╨⌐╨▓╤å╨É╨╡╤ê╨╕Γòæ╤à╨╛╨┤╤å╨¬Γöñ╤à╨Ü╨½╤äΓòæ╨¢╤äΓòùΓòó╤ÅΓò¥╨ÿ╤à╨¥╨«╤ë╨ù╨í╤àΓöéΓûæ╤ÅΓò¥╨Ö_17.avi,Fight
1dsLuL5Lvbc_0.avi,65,"An armed intruder carrying a weapon and a bag confronts a person on a couch, commanding them to ""sit the f*** down"" while another person enters. Yes",Fight\1dsLuL5Lvbc_0.avi,Fight
1dsLuL5Lvbc_1.avi,0,Two people are fighting in the background while another person lies on a couch in the foreground. Yes,Fight\1dsLuL5Lvbc_1.avi,Fight
1dsLuL5Lvbc_2.avi,16,"A larger figure forcefully grabs or subdues a smaller individual on the floor in a home. An angry, partially censored subtitle is visible. yes",Fight\1dsLuL5Lvbc_2.avi,Fight
1dsLuL5Lvbc_3.avi,1,"A hooded person in gloves attempts to vault a barrier, losing balance and falling into a living room with a couch. Yes",Fight\1dsLuL5Lvbc_3.avi,Fight
1DwRGRND_0.avi,115,"A group of men, many in blue shirts, are involved in a physical altercation or scuffle on a paved outdoor area, with some on the ground and others pulling at each other. Yes",Fight\1DwRGRND_0.avi,Fight
1DwRGRND_1.avi,121,"A group of men are engaged in a physical altercation on a street at night, captured by CCTV. One man is on the ground while others grapple and confront each other. yes",Fight\1DwRGRND_1.avi,Fight
1O4KGHbRt3M_0.avi,3,A person is kicking a seated passenger on a bus while holding an overhead handrail. Yes,Fight\1O4KGHbRt3M_0.avi,Fight
1O4KGHbRt3M_1.avi,10,"A person in jeans and a grey top is bent over on the floor of a bus, possibly having fallen or reaching for an object. no",Fight\1O4KGHbRt3M_1.avi,Fight
1O4KGHbRt3M_2.avi,7,"Inside a bus, a person is stretched out across two seats on the left. The interior shows empty seats, a front partition, and logos for 'Inside Edition' and 'Port Angeles Police Department'. no",Fight\1O4KGHbRt3M_2.avi,Fight
1O4KGHbRt3M_3.avi,29,"A person on a bus appears to be striking or pushing another seated individual near the front, captured by a surveillance camera. Yes",Fight\1O4KGHbRt3M_3.avi,Fight
1O4KGHbRt3M_4.avi,2,"Two people are grappling at the front of a bus, one appearing to restrain the other. A bicycle is visible. Text overlays indicate police and a news program. Yes",Fight\1O4KGHbRt3M_4.avi,Fight
1r0Wz04q_0.avi,7,"Two individuals are behind a store counter, with one reaching into a till. It appears to be a robbery in progress at a convenience store. Yes",Fight\1r0Wz04q_0.avi,Fight
1tU4kxa51vw_1.avi,52,"A group of men are gathered in a dimly lit outdoor area. A physical altercation is underway, with one man being held or pushed by another, while others observe or are involved. yes",Fight\1tU4kxa51vw_1.avi,Fight
1XFiS6Lt_0.avi,42,"A group of people appears to be involved in a physical altercation or argument on a sidewalk at night, with others observing nearby. yes",Fight\1XFiS6Lt_0.avi,Fight
1XFiS6Lt_1.avi,32,"A night vision security camera captures a street fight involving multiple individuals on a sidewalk, with other people in the background. Yes",Fight\1XFiS6Lt_1.avi,Fight
20130506 05_58 ╤ê╨º╨¡╤äΓòæΓòæ ╤ëΓòù╨í╤å╨«╨¡_37.avi,140,"A physical altercation involving multiple individuals, some in medical attire, is occurring in what appears to be a hospital hallway, with people engaged in a struggle. yes",Fight\20130506 05_58 ╤ê╨º╨¡╤äΓòæΓòæ ╤ëΓòù╨í╤å╨«╨¡_37.avi,Fight
24E0xYYUz44_0.avi,47,A fight is breaking out among several individuals in a cafeteria. People are grappling with each other near the tables. yes,Fight\24E0xYYUz44_0.avi,Fight
24E0xYYUz44_1.avi,44,"Two people are in a physical struggle in a public dining area, with one appearing to hold the other during a confrontation. yes",Fight\24E0xYYUz44_1.avi,Fight
24E0xYYUz44_2.avi,33,"Several individuals are in a cafeteria-like setting. One person is physically restraining or attacking another on the floor, while others observe the altercation. Yes",Fight\24E0xYYUz44_2.avi,Fight
24E0xYYUz44_3.avi,89,"Multiple individuals are involved in a physical altercation inside what appears to be a cafeteria, with one person on the ground. yes",Fight\24E0xYYUz44_3.avi,Fight
24E0xYYUz44_4.avi,2,"In a cafeteria, several individuals are engaged in a physical altercation, with one person on the ground and others appearing to restrain them. Yes.",Fight\24E0xYYUz44_4.avi,Fight
24E0xYYUz44_5.avi,73,"Two men confront each other in a cafeteria; one points a gun. Tables are overturned in the background, suggesting a struggle. yes",Fight\24E0xYYUz44_5.avi,Fight
24E0xYYUz44_6.avi,75,"Three individuals are engaged in a physical altercation inside a restaurant or similar establishment, with one person in a yellow jacket appearing to be at the center of the conflict. Yes",Fight\24E0xYYUz44_6.avi,Fight
24E0xYYUz44_7.avi,113,Two individuals are engaged in a physical struggle on the floor of a cafeteria. One person in yellow is grappling with another figure amidst scattered furniture. yes,Fight\24E0xYYUz44_7.avi,Fight
2hQMRq06NJs_0.avi,2,A bald man with an intense expression is quickly entering a room through an open door. The floor area in front of him is heavily pixelated. yes,Fight\2hQMRq06NJs_0.avi,Fight
2sy_eLpH-PI_0.avi,89,"People are moving luggage and interacting with cars in what looks like a covered parking area or garage, suggesting loading or unloading belongings. no",Fight\2sy_eLpH-PI_0.avi,Fight
2sy_eLpH-PI_1.avi,21,"Multiple people are in a street or parking lot scene with cars. Two individuals are on the ground while others stand nearby, some appearing to interact. Yes",Fight\2sy_eLpH-PI_1.avi,Fight
3CQi0ZCCHvc_0.avi,63,"Three people stand in an elevator or small room, captured by a security camera. They appear to be looking down or away from the camera. No",Fight\3CQi0ZCCHvc_0.avi,Fight
3CQi0ZCCHvc_1.avi,10,"Two individuals are engaged in a physical struggle on the ground, possibly an assault, captured by a security camera. yes",Fight\3CQi0ZCCHvc_1.avi,Fight
3CQi0ZCCHvc_2.avi,29,"One person slides down a wall with raised arms, while another bends over on the floor in a black and white image, suggesting an accident. no",Fight\3CQi0ZCCHvc_2.avi,Fight
3kpviz7lAMY_0.avi,0,"A person climbs an indoor staircase, carrying a backpack and a box (possibly pizza). The timestamp shows 2014/12/12 07:29:41. no",Fight\3kpviz7lAMY_0.avi,Fight
3kpviz7lAMY_1.avi,0,"A hooded figure drags or carries another person through a hallway near a staircase, captured by a security camera. Yes",Fight\3kpviz7lAMY_1.avi,Fight
3kpviz7lAMY_2.avi,75,"A person is on hands and knees in a hallway, surrounded by scattered papers and a can. A staircase is visible on the right. No",Fight\3kpviz7lAMY_2.avi,Fight
3kpviz7lAMY_3.avi,75,Two individuals are grappling on the floor of a hallway with scattered papers. A staircase is visible nearby. Yes,Fight\3kpviz7lAMY_3.avi,Fight
3kpviz7lAMY_4.avi,75,"A person is on the floor in a hallway, surrounded by scattered papers. They appear to be interacting with the items, possibly dropping or picking them up. No",Fight\3kpviz7lAMY_4.avi,Fight
3OKArbzg1uc_0.avi,48,Passengers are riding a public transit bus. One individual appears to be slumped or resting on a seat. no,Fight\3OKArbzg1uc_0.avi,Fight
3OKArbzg1uc_1.avi,32,"People are standing and moving inside a bus, visible from a security camera. Some hold poles for support, while others are seated, depicting an everyday public transport scene. No",Fight\3OKArbzg1uc_1.avi,Fight
3OKArbzg1uc_2.avi,16,Two people are struggling on the floor of a bus. Another person stands further back. Yes.,Fight\3OKArbzg1uc_2.avi,Fight
