video_name,frame_number,response,Folder,Label
-1l5631l3fg_0.avi,75,"Yes, the person in the image is shown forcefully pushing against a door or wall, which can be interpreted as an aggressive action or an attempt to force entry.",Fight\-1l5631l3fg_0.avi,Fight
-1l5631l3fg_1.avi,75,"No, the image shows a person on the ground and another standing near them, but it does not clearly depict any specific aggressive actions such as punching or kicking. The situation could be the result of aggression, but it is not definitively shown in the frame.",Fight\-1l5631l3fg_1.avi,Fight
-1l5631l3fg_2.avi,75,"Yes, there are strong indications of aggressive behavior. One person appears to be striking or threatening another person who is on the ground.",Fight\-1l5631l3fg_2.avi,Fight
0H2s9UJcNJ0_0.avi,75,"Yes, there are signs of physical aggression, specifically with one person appearing to be held down or attacked by another on the floor.",Fight\0H2s9UJcNJ0_0.avi,Fight
0H2s9UJcNJ0_2.avi,75,"Yes, there are signs of aggressive behavior. Multiple individuals appear to be physically restraining a person on the floor.",Fight\0H2s9UJcNJ0_2.avi,Fight
0H2s9UJcNJ0_3.avi,75,"Yes, the image clearly shows a physical altercation involving multiple individuals, indicating aggressive behavior.",Fight\0H2s9UJcNJ0_3.avi,Fight
0H2s9UJcNJ0_4.avi,75,"Yes, the image shows multiple uniformed individuals forcefully restraining a person on the ground, which constitutes a sign of aggressive physical behavior.",Fight\0H2s9UJcNJ0_4.avi,Fight
0H2s9UJcNJ0_5.avi,75,"Yes, the image depicts a police officer engaged in a physical struggle or forceful interaction with a person on the floor, which can be interpreted as aggressive behavior.",Fight\0H2s9UJcNJ0_5.avi,Fight
0lHQ2f0d_0.avi,75,"Yes, several people in the center of the image are engaged in a physical altercation, showing aggressive behavior.",Fight\0lHQ2f0d_0.avi,Fight
0lHQ2f0d_1.avi,75,"Yes, there are clear signs. One person is actively kicking another person on the ground, and several individuals appear to be engaged in a physical altercation.",Fight\0lHQ2f0d_1.avi,Fight
0lHQ2f0d_2.avi,75,"Yes, there are clear signs of aggressive behavior, specifically a physical altercation with one person appearing to kick another in the center of the image.",Fight\0lHQ2f0d_2.avi,Fight
0lHQ2f0d_3.avi,75,"Yes, there are clear signs of aggressive behavior, specifically a physical struggle involving multiple individuals in the center-left of the image.",Fight\0lHQ2f0d_3.avi,Fight
0NWz-01A2yk_0.avi,75,"While the scene depicts a person in an unusual, prone position on a counter and others nearby, there are no clear, unambiguous signs of overt aggressive behavior such as striking, pushing, or violent gestures visible from any person in this picture.",Fight\0NWz-01A2yk_0.avi,Fight
0NWz-01A2yk_1.avi,75,"No, there are no clear signs of aggressive behavior from any person in this picture. One person appears to be on the floor, but the cause is not evident, and no one else is visibly acting aggressively.",Fight\0NWz-01A2yk_1.avi,Fight
