video_name,frame_number,response,Folder,Label,clean_response,clean_response_no_keywords
-1l5631l3fg_0.avi,75,"A person is seen forcefully pushing through a doorway, appearing to struggle or force their way through. It seems to be a subway station entrance. yes",Fight\-1l5631l3fg_0.avi,Fight,"A person is seen forcefully pushing through a doorway, appearing to struggle or force their way through. It seems to be a subway station entrance.",A person is seen forcefully pushing through a doorway appearing to struggle or force their way through It seems to be a subway station entrance
-1l5631l3fg_1.avi,75,"A person appears to be falling or collapsing onto the floor at the top of a stairwell in an indoor hallway, captured by a security camera. No",Fight\-1l5631l3fg_1.avi,Fight,"A person appears to be falling or collapsing onto the floor at the top of a stairwell in an indoor hallway, captured by a security camera.",A person appears to be falling or collapsing onto the floor at the top of a stairwell in an hallway captured by a
-1l5631l3fg_2.avi,75,"One person appears collapsed at the bottom of stairs while another stands over them with a raised arm, captured by a security camera in a stairwell. Yes",Fight\-1l5631l3fg_2.avi,Fight,"One person appears collapsed at the bottom of stairs while another stands over them with a raised arm, captured by a security camera in a stairwell.",One person appears collapsed at the bottom of stairs while another over them with a raised arm captured by a in a stairwell
0H2s9UJcNJ0_0.avi,75,"A group of people are gathered, with a physical altercation occurring in the foreground where one person is on the ground amidst others. Yes",Fight\0H2s9UJcNJ0_0.avi,Fight,"A group of people are gathered, with a physical altercation occurring in the foreground where one person is on the ground amidst others.",A group of are gathered with a physical altercation occurring in the foreground where one person is on the ground amidst others
0H2s9UJcNJ0_2.avi,75,"Multiple individuals, including staff and possibly patients, are attending to a person lying on the floor, appearing to provide assistance or intervene. No",Fight\0H2s9UJcNJ0_2.avi,Fight,"Multiple individuals, including staff and possibly patients, are attending to a person lying on the floor, appearing to provide assistance or intervene.",Multiple individuals including staff and possibly patients are attending to a person lying on the floor appearing to provide assistance or intervene
0H2s9UJcNJ0_3.avi,75,"A group of people are physically restraining an individual on the floor, with others observing. The scene depicts a struggle or forced intervention. Yes",Fight\0H2s9UJcNJ0_3.avi,Fight,"A group of people are physically restraining an individual on the floor, with others observing. The scene depicts a struggle or forced intervention.",A group of are physically restraining an individual on the floor with others observing The scene depicts a struggle or forced intervention
0H2s9UJcNJ0_4.avi,75,Officers appear to be restraining individuals on the floor amidst a group of people in an indoor setting. Yes,Fight\0H2s9UJcNJ0_4.avi,Fight,Officers appear to be restraining individuals on the floor amidst a group of people in an indoor setting.,Officers appear to be restraining individuals on the floor amidst a group of in an setting
0H2s9UJcNJ0_5.avi,75,"A uniformed officer physically interacts with an individual on the floor in a room, while other people are present. Yes",Fight\0H2s9UJcNJ0_5.avi,Fight,"A uniformed officer physically interacts with an individual on the floor in a room, while other people are present.",A uniformed officer physically interacts with an individual on the floor in a room while other are present
0lHQ2f0d_0.avi,75,"A group of people are engaged in a physical street fight at night, with multiple individuals throwing punches and grappling in the middle of a paved area. yes",Fight\0lHQ2f0d_0.avi,Fight,"A group of people are engaged in a physical street fight at night, with multiple individuals throwing punches and grappling in the middle of a paved area.",A group of are engaged in a physical fight at with multiple individuals throwing punches and grappling in the middle of a paved area
0lHQ2f0d_1.avi,75,"A chaotic street scene at night shows multiple people amidst scattered debris. Individuals appear to be engaged in a scuffle, with one person seemingly kicking and others involved in a disorderly situation. yes",Fight\0lHQ2f0d_1.avi,Fight,"A chaotic street scene at night shows multiple people amidst scattered debris. Individuals appear to be engaged in a scuffle, with one person seemingly kicking and others involved in a disorderly situation.",A chaotic scene at shows multiple amidst scattered debris Individuals appear to be engaged in a scuffle with one person seemingly kicking and others involved in a disorderly situation
